Employee_ID,Country,Age,Education_Level,Marital_Status,Number_of_Children,Industry_Sector,Years_of_Experience,Remote_Work_Type,Monthly_Salary_USD,Weekly_Work_Hours,Promotion_Last_2_Years,Work_Life_Balance_Score
10047,South Africa,49,Diploma,Married,2,Healthcare,14,Yes,4082,53,No,3.63
10048,Japan,53,High School,Married,0,IT,31,Hybrid,6889,56,Yes,1.48
10049,Brazil,42,Bachelor,Divorced,2,Retail,14,Yes,4257,37,No,4.19
10050,India,57,Diploma,Single,0,Hospitality,1,Yes,1386,52,No,7.3
10051,Australia,56,Master,Divorced,0,Government,33,Yes,8057,34,No,5.37
10052,India,54,Diploma,Married,0,IT,1,Hybrid,1262,53,Yes,3.85
10053,Canada,24,Master,Divorced,0,Government,1,Yes,1575,30,No,3.68
10054,Canada,48,PhD,Single,0,IT,22,Yes,5466,42,No,3.81
10055,Australia,54,Master,Divorced,4,Government,18,No,4343,43,Yes,7.49
10056,Brazil,40,Master,Married,3,Government,17,Hybrid,4731,41,Yes,5.42
10057,Brazil,48,High School,Divorced,3,Government,5,Hybrid,2004,25,No,5.56
10058,USA,25,PhD,Divorced,1,Retail,0,Hybrid,630,26,No,5.22
10059,India,40,High School,Single,0,IT,14,No,3784,55,Yes,2.25
10060,France,54,Bachelor,Married,3,Manufacturing,16,Yes,4518,28,Yes,3.22
10061,Canada,51,Bachelor,Married,3,IT,30,Hybrid,7146,41,Yes,5.08
10062,Brazil,58,Diploma,Single,0,IT,6,Hybrid,1720,44,Yes,5.51
10063,South Africa,30,High School,Married,4,IT,12,Hybrid,3740,32,No,8.45
10064,Germany,50,PhD,Married,3,Education,15,Yes,3666,37,Yes,9.79
10065,Australia,38,Bachelor,Single,0,Hospitality,6,Hybrid,1973,40,Yes,5.09
10066,Germany,52,Diploma,Divorced,1,Retail,30,No,6887,47,No,7.83
10067,India,23,PhD,Married,0,Hospitality,0,Hybrid,1100,38,No,3.66
10068,France,40,Master,Married,1,Government,2,Yes,1215,35,No,5.03
10069,Brazil,39,Diploma,Married,0,Healthcare,21,Hybrid,4713,25,Yes,6.73
10070,Brazil,42,Bachelor,Divorced,2,Hospitality,1,Hybrid,941,40,No,5.48
10071,India,24,High School,Divorced,3,Healthcare,2,Hybrid,1676,57,Yes,3.34
10072,Australia,32,High School,Divorced,2,Retail,14,Yes,3645,48,No,4.63
10073,Australia,37,PhD,Divorced,4,IT,11,Yes,3264,46,Yes,9.18
10074,UK,33,Bachelor,Single,0,Education,12,No,3797,55,Yes,5.94
10075,South Africa,50,Diploma,Divorced,1,Healthcare,6,Hybrid,2039,49,Yes,3.47
10076,France,30,Master,Single,0,Retail,7,Hybrid,1991,35,Yes,2.34
10077,USA,33,PhD,Divorced,0,IT,7,Hybrid,2266,35,No,2.78
10078,Germany,24,Master,Single,0,IT,1,Yes,1655,42,No,3.13
10079,Brazil,35,PhD,Married,4,Education,9,No,2754,35,Yes,9.09
10080,Japan,41,Diploma,Single,0,Finance,7,Hybrid,2327,51,Yes,8.15
10081,Canada,36,High School,Single,0,Hospitality,15,No,4008,55,Yes,3.83
10082,Brazil,56,PhD,Single,0,Finance,8,Yes,2875,59,Yes,3.19
10083,Australia,25,Diploma,Single,0,IT,7,No,2842,49,Yes,2.44
10084,India,29,Bachelor,Divorced,0,IT,8,Yes,2134,36,Yes,4.85
10085,France,47,PhD,Married,3,Retail,21,Hybrid,4905,57,No,8.22
10086,Brazil,44,PhD,Married,1,Government,18,Hybrid,4180,56,Yes,2.5
10087,UK,34,Diploma,Single,0,Government,16,No,4631,43,No,9.38
10088,France,24,Diploma,Divorced,2,Hospitality,6,No,2261,51,No,5.68
10089,India,50,Diploma,Single,0,Government,19,No,5171,48,Yes,9.13
10090,Japan,33,Master,Married,2,Finance,10,Yes,2887,56,Yes,6.87
10091,USA,33,PhD,Divorced,3,Finance,7,No,1901,45,Yes,2.79
10092,Brazil,36,Master,Married,2,Manufacturing,13,Hybrid,3489,38,Yes,4.45
10093,South Africa,50,High School,Single,0,Retail,13,Yes,3665,57,No,7.35
10094,Canada,29,High School,Single,0,Finance,11,Yes,2805,34,Yes,9.92
10095,USA,59,High School,Divorced,0,Finance,15,Yes,4271,43,Yes,4.68
10096,UK,27,PhD,Single,0,Education,1,Yes,1521,34,No,4.23
10097,Germany,42,Bachelor,Divorced,0,Government,15,No,3976,51,Yes,4.96
10098,UK,48,Bachelor,Married,1,Finance,0,No,1202,45,Yes,3.19
10099,Brazil,28,PhD,Single,0,IT,2,Hybrid,1301,50,No,9.14
10100,France,38,Master,Single,0,Finance,11,No,3429,49,Yes,3.6
10101,Brazil,26,High School,Married,1,IT,6,Hybrid,2255,39,No,4.44
10102,Canada,57,PhD,Divorced,4,Healthcare,18,Yes,4261,53,Yes,2.8
10103,South Africa,50,Diploma,Divorced,2,Government,10,Hybrid,2701,27,Yes,8.12
10104,Brazil,47,High School,Married,3,Manufacturing,2,Yes,1857,56,No,4.51
10105,South Africa,21,Bachelor,Single,0,Healthcare,0,Yes,1495,29,Yes,9.45
10106,Australia,43,Diploma,Single,0,Healthcare,2,No,1169,43,No,5.55
10107,USA,55,Diploma,Divorced,4,Government,2,Hybrid,1762,27,No,4.51
10108,Canada,33,Bachelor,Single,0,Finance,12,No,3715,37,No,5.24
10109,UK,27,High School,Single,0,Retail,5,Hybrid,1770,29,No,2.46
10110,UK,55,High School,Single,0,Education,20,No,4955,41,Yes,3.24
10111,Brazil,50,Diploma,Married,0,Manufacturing,24,Hybrid,5761,55,Yes,5.35
10112,Brazil,59,Bachelor,Single,0,Education,17,No,4626,51,No,4.58
10113,Germany,38,Diploma,Single,0,Healthcare,20,Yes,4751,56,Yes,9.46
10114,India,26,Bachelor,Married,2,Education,1,Hybrid,1401,54,No,9.29
10115,UK,36,Master,Single,0,Education,4,Yes,1595,59,No,6.46
10116,South Africa,33,Master,Married,0,Manufacturing,10,Yes,3224,30,Yes,2.39
10117,USA,49,PhD,Divorced,4,Manufacturing,3,No,1819,57,No,2.0
10118,South Africa,58,PhD,Single,0,Retail,14,Hybrid,4048,38,Yes,4.25
10119,Australia,30,Master,Divorced,2,Government,3,Yes,1437,46,No,9.61
10120,France,44,Diploma,Divorced,0,Retail,11,Hybrid,3578,39,Yes,4.3
10121,India,42,PhD,Married,4,Hospitality,10,No,2552,53,Yes,1.42
10122,India,25,Master,Married,2,Retail,2,Yes,1691,54,No,7.38
10123,South Africa,48,PhD,Single,0,Retail,22,Hybrid,5821,56,Yes,5.98
10124,Australia,33,PhD,Divorced,0,Education,7,Hybrid,2116,36,No,8.0
10125,South Africa,32,Master,Single,0,Retail,9,Hybrid,3063,51,Yes,5.06
10126,South Africa,27,Master,Married,0,Retail,4,No,1487,27,No,5.46
10127,Canada,54,PhD,Divorced,2,Finance,28,Hybrid,6479,42,Yes,1.56
10128,Australia,42,High School,Married,2,Manufacturing,9,No,2792,29,Yes,8.08
10129,France,42,Bachelor,Divorced,2,Manufacturing,9,Hybrid,2340,52,Yes,1.2
10130,Brazil,51,PhD,Single,0,Government,25,Yes,5656,30,Yes,7.33
10131,Germany,49,Diploma,Married,3,Hospitality,13,No,3114,33,Yes,8.48
10132,Canada,33,Master,Married,3,Healthcare,9,No,3112,49,No,4.81
10133,Japan,33,Master,Divorced,3,Retail,10,Yes,2564,48,Yes,3.13
10134,India,57,PhD,Married,4,Finance,30,Yes,7356,41,Yes,3.04
10135,Japan,28,PhD,Divorced,0,Finance,2,Hybrid,1738,57,Yes,1.76
10136,Brazil,42,PhD,Single,0,Retail,12,Hybrid,3420,38,No,3.66
10137,South Africa,59,Master,Divorced,4,Finance,31,No,7043,27,No,3.62
10138,France,36,Bachelor,Single,0,Manufacturing,15,Hybrid,3628,52,Yes,2.29
10139,Australia,39,Bachelor,Divorced,1,Government,18,Yes,4747,31,Yes,5.75
10140,Canada,49,High School,Married,0,IT,31,No,7171,44,Yes,7.94
10141,Germany,37,High School,Divorced,1,Healthcare,0,Hybrid,562,51,Yes,2.03
10142,India,26,Master,Single,0,Finance,3,Hybrid,1238,37,Yes,2.89
10143,Canada,56,PhD,Divorced,0,Hospitality,10,No,2998,41,Yes,9.72
10144,Australia,34,Diploma,Single,0,IT,0,Hybrid,1092,59,No,6.51
10145,Japan,53,Diploma,Married,1,Government,33,No,7491,33,Yes,4.68
10146,Germany,44,Bachelor,Married,2,Hospitality,17,Hybrid,4574,44,Yes,9.73
10147,Australia,52,Bachelor,Single,0,Retail,2,Hybrid,1318,58,No,3.88
10148,India,54,Diploma,Single,0,Government,29,No,6588,45,No,6.82
10149,Brazil,48,Master,Married,4,Hospitality,24,No,5678,50,Yes,4.86
10150,Japan,35,High School,Married,3,Manufacturing,16,Yes,4472,59,Yes,4.15
10151,USA,53,Master,Divorced,0,Finance,30,Yes,6989,26,Yes,2.13
10152,South Africa,55,High School,Married,2,Manufacturing,2,Yes,1130,52,No,1.99
10153,USA,52,Master,Single,0,Retail,2,Yes,940,55,No,8.52
10154,France,59,Master,Married,3,Manufacturing,28,Hybrid,6127,49,Yes,4.52
10155,Germany,39,PhD,Divorced,2,IT,3,No,1234,25,No,1.55
10156,South Africa,30,Diploma,Divorced,2,Education,12,No,3100,59,No,4.47
10157,Canada,30,Diploma,Divorced,3,Manufacturing,12,No,3739,50,Yes,2.58
10158,South Africa,34,Master,Married,3,Finance,11,Hybrid,3479,56,Yes,1.62
10159,France,42,Bachelor,Divorced,1,Finance,14,Hybrid,4229,43,Yes,9.35
10160,Canada,22,High School,Married,2,Retail,3,No,1132,55,No,9.68
10161,South Africa,52,Bachelor,Married,2,Finance,5,Yes,1547,42,No,3.67
10162,Japan,35,Bachelor,Divorced,3,Government,14,Yes,3802,33,Yes,3.15
10163,Canada,37,Master,Single,0,Finance,14,Yes,3706,26,No,8.54
10164,USA,46,Master,Married,3,Retail,2,No,1473,31,Yes,5.22
10165,South Africa,54,Master,Single,0,Manufacturing,22,Yes,5627,32,Yes,7.79
10166,UK,42,Diploma,Single,0,Retail,15,Yes,4304,53,Yes,4.89
10167,Australia,40,PhD,Married,4,Manufacturing,14,Yes,3398,31,Yes,9.42
10168,UK,39,High School,Divorced,4,Manufacturing,21,Yes,5383,27,Yes,4.85
10169,Germany,21,Diploma,Single,0,Government,3,No,1971,51,No,5.49
10170,France,34,PhD,Married,3,IT,8,Hybrid,2825,26,Yes,3.45
10171,South Africa,31,Bachelor,Divorced,3,Finance,10,Yes,3486,54,Yes,5.35
10172,Germany,48,PhD,Married,1,Retail,18,No,4646,29,Yes,7.0
10173,Australia,49,Bachelor,Single,0,Education,28,Yes,7060,55,Yes,9.84
10174,Canada,29,PhD,Divorced,0,Hospitality,1,Hybrid,1438,39,No,9.28
10175,USA,54,High School,Married,0,Education,25,Hybrid,6112,33,Yes,1.48
10176,Germany,57,PhD,Married,4,Hospitality,19,Hybrid,5242,31,No,4.41
10177,Australia,46,PhD,Single,0,Hospitality,20,No,4961,39,Yes,7.54
10178,Canada,49,Bachelor,Single,0,Hospitality,9,No,2942,30,Yes,3.62
10179,France,28,PhD,Divorced,4,Finance,2,Hybrid,1668,59,Yes,4.54
10180,Germany,36,Master,Single,0,Manufacturing,9,Hybrid,2304,35,Yes,2.66
10181,Canada,21,High School,Divorced,3,Education,3,Hybrid,1317,46,No,2.57
10182,Germany,39,Diploma,Divorced,2,Manufacturing,6,Hybrid,2202,45,No,4.03
10183,Germany,21,High School,Married,2,Healthcare,3,Yes,1866,47,No,6.55
10184,Canada,30,Master,Divorced,2,Finance,7,No,2297,35,Yes,1.81
10185,Germany,55,Bachelor,Married,2,Finance,27,Hybrid,6770,26,Yes,9.17
10186,Japan,26,Bachelor,Divorced,2,Healthcare,5,Yes,2294,50,No,8.69
10187,UK,42,High School,Divorced,1,Finance,10,No,2892,47,Yes,3.2
10188,Canada,37,Diploma,Married,3,IT,3,Yes,1306,37,Yes,9.32
10189,Germany,32,Master,Married,4,Finance,9,Yes,2314,59,Yes,3.56
10190,South Africa,53,PhD,Single,0,Retail,27,No,6757,37,Yes,7.49
10191,Australia,57,PhD,Divorced,2,Retail,20,No,5053,56,Yes,4.94
10192,Canada,26,Master,Divorced,1,Government,3,No,1991,58,Yes,3.74
10193,Australia,49,PhD,Married,4,Manufacturing,8,Hybrid,2560,48,Yes,6.18
10194,USA,50,PhD,Married,3,Finance,2,Yes,1590,37,No,8.85
10195,India,52,Diploma,Divorced,0,IT,8,Hybrid,2674,45,No,2.59
10196,France,28,Diploma,Single,0,Manufacturing,10,Yes,3363,42,Yes,9.28
10197,France,49,Diploma,Single,0,Finance,19,No,5042,41,Yes,3.31
10198,Australia,35,Master,Single,0,Hospitality,6,Yes,1940,46,Yes,6.63
10199,USA,34,High School,Single,0,IT,14,No,3863,54,Yes,8.23
10200,Canada,40,Master,Divorced,1,IT,5,Yes,1595,46,No,1.82
10201,Japan,34,PhD,Single,0,Finance,3,No,1999,34,Yes,3.36
10202,Brazil,45,Diploma,Married,4,Hospitality,27,Hybrid,6633,48,No,3.54
10203,USA,24,High School,Divorced,3,Manufacturing,6,No,2184,40,No,6.34
10204,Canada,28,Diploma,Single,0,Hospitality,10,No,2906,31,Yes,5.0
10205,USA,53,Diploma,Single,0,Manufacturing,27,Yes,6130,50,Yes,7.07
10206,USA,54,Diploma,Single,0,Hospitality,25,No,6248,52,Yes,7.56
10207,UK,32,PhD,Single,0,IT,6,Yes,2354,50,Yes,9.77
10208,South Africa,48,High School,Married,4,IT,13,Hybrid,3270,50,Yes,2.36
10209,France,25,Bachelor,Single,0,Government,4,No,1840,41,Yes,1.08
10210,Australia,59,Master,Married,4,Government,28,No,6135,43,Yes,7.1
10211,France,52,Diploma,Divorced,0,Retail,24,No,5824,30,Yes,7.61
10212,France,51,Master,Divorced,4,Government,5,No,1659,36,No,4.76
10213,France,35,Master,Married,0,Healthcare,12,No,3738,58,No,7.91
10214,UK,33,Diploma,Single,0,Retail,1,Yes,1398,44,Yes,2.7
10215,UK,37,Bachelor,Married,4,Finance,16,Hybrid,3942,36,No,1.86
10216,USA,47,Master,Divorced,1,IT,22,No,4985,54,Yes,3.7
10217,Australia,53,PhD,Divorced,0,IT,25,Yes,6295,42,Yes,6.94
10218,Canada,54,PhD,Divorced,3,Hospitality,21,Hybrid,5277,57,Yes,6.61
10219,South Africa,29,Diploma,Married,1,Government,4,Yes,1981,49,No,6.08
10220,India,51,High School,Divorced,1,Government,14,Hybrid,3856,57,Yes,4.26
10221,Canada,54,PhD,Married,2,Government,28,No,6673,58,Yes,5.07
10222,Australia,36,PhD,Single,0,Finance,1,Yes,1652,34,No,2.14
10223,South Africa,43,Diploma,Divorced,1,Healthcare,19,Hybrid,4945,45,Yes,2.61
10224,India,55,High School,Divorced,4,Education,5,No,2295,52,No,5.67
10225,UK,33,PhD,Married,1,Education,5,Hybrid,1527,49,No,7.32
10226,France,25,Master,Divorced,0,Retail,2,No,1519,58,No,7.45
10227,Canada,41,Diploma,Married,0,Healthcare,23,Yes,5655,29,Yes,3.61
10228,Brazil,39,PhD,Single,0,Healthcare,13,Yes,3439,28,Yes,2.22
10229,Brazil,42,PhD,Divorced,2,Finance,12,Hybrid,3697,57,No,5.07
10230,France,43,High School,Divorced,0,Government,18,Yes,5057,26,Yes,1.3
10231,France,39,Diploma,Divorced,1,Manufacturing,3,Yes,1430,41,No,9.41
10232,Germany,26,High School,Divorced,1,Government,8,No,2739,39,Yes,8.63
10233,Japan,26,High School,Single,0,Education,3,No,1605,35,No,4.04
10234,France,26,Master,Single,0,Government,3,Yes,1447,53,Yes,9.09
10235,France,27,Master,Married,2,Retail,4,Yes,1772,54,No,3.06
10236,India,52,PhD,Single,0,Healthcare,13,Hybrid,3330,32,Yes,6.06
10237,Australia,50,Master,Married,3,Manufacturing,27,Hybrid,6089,33,No,2.35
10238,Australia,37,High School,Married,4,Education,19,No,4524,59,Yes,5.35
10239,France,25,High School,Divorced,3,Retail,0,Yes,884,40,No,1.23
10240,Japan,59,Bachelor,Single,0,Manufacturing,8,Yes,2476,47,No,1.84
10241,Germany,34,Bachelor,Married,1,Healthcare,9,No,2582,52,Yes,5.43
10242,Brazil,23,PhD,Married,3,Manufacturing,0,Yes,1457,28,No,6.38
10243,Australia,33,High School,Divorced,1,IT,15,Yes,4132,44,Yes,9.16
10244,Germany,45,PhD,Single,0,Manufacturing,11,Hybrid,3327,52,Yes,2.33
10245,USA,48,Master,Married,1,Retail,7,Hybrid,2872,49,Yes,2.72
10246,India,37,High School,Married,3,IT,15,Yes,4244,39,Yes,4.6
10247,Australia,26,Master,Married,2,Government,3,Yes,1358,33,Yes,6.72
10248,Germany,50,Diploma,Married,1,IT,31,No,7058,41,Yes,7.74
10249,Japan,30,High School,Single,0,Retail,8,No,2809,51,Yes,2.7
10250,UK,35,Master,Divorced,1,Retail,12,Yes,3355,42,Yes,6.04
10251,South Africa,27,High School,Divorced,0,Healthcare,9,No,2710,59,No,7.36
10252,France,23,Master,Single,0,Finance,0,No,1148,59,Yes,7.75
10253,Australia,58,High School,Married,1,Education,26,Yes,6017,50,Yes,9.98
10254,Japan,43,Diploma,Divorced,4,Education,16,Yes,4376,59,No,9.92
10255,UK,30,Bachelor,Single,0,Manufacturing,9,No,2524,59,Yes,6.06
10256,South Africa,56,Bachelor,Married,2,Manufacturing,9,Yes,3118,48,No,4.82
10257,India,36,High School,Married,0,Finance,18,No,4333,58,No,3.48
10258,USA,41,Bachelor,Married,4,Healthcare,6,No,2383,54,No,9.25
10259,Australia,53,PhD,Divorced,3,Healthcare,27,Yes,6563,29,Yes,4.79
10260,France,56,Bachelor,Single,0,Government,10,Yes,3474,25,No,2.67
10261,Brazil,42,PhD,Divorced,3,Government,16,No,4526,55,No,9.32
10262,Brazil,27,Diploma,Divorced,4,Finance,9,Hybrid,2673,32,Yes,9.55
10263,Brazil,41,PhD,Divorced,4,Government,0,Hybrid,1171,31,No,7.92
10264,Japan,21,Diploma,Divorced,4,Healthcare,3,No,1707,47,No,5.97
10265,Brazil,41,PhD,Divorced,3,Retail,15,No,3971,51,Yes,3.52
10266,Australia,54,Diploma,Divorced,2,Hospitality,25,Hybrid,5732,28,Yes,3.28
10267,UK,42,High School,Divorced,3,Retail,24,No,5991,58,Yes,7.15
10268,India,23,PhD,Single,0,Education,0,Yes,612,45,No,3.12
10269,South Africa,32,High School,Married,1,Healthcare,12,Hybrid,3729,28,Yes,2.57
10270,France,32,Diploma,Divorced,4,Healthcare,14,Yes,3796,33,Yes,8.01
10271,India,57,PhD,Divorced,4,IT,6,Hybrid,2141,59,Yes,8.85
10272,Australia,29,Bachelor,Married,1,Government,8,Yes,2663,52,No,6.07
10273,Japan,28,Master,Married,3,Healthcare,5,Yes,1767,48,Yes,4.76
10274,Brazil,28,Diploma,Married,3,Finance,2,No,1409,38,No,2.71
10275,France,42,Master,Divorced,0,IT,10,Yes,3306,28,Yes,8.55
10276,South Africa,40,Bachelor,Divorced,4,Education,19,Hybrid,4685,53,Yes,1.81
10277,Japan,43,High School,Married,4,Education,25,No,5886,57,No,7.48
10278,South Africa,56,PhD,Married,3,Hospitality,7,Yes,2012,47,No,4.13
10279,France,38,Master,Married,4,Finance,15,No,4112,49,Yes,1.95
10280,Canada,54,PhD,Divorced,2,Retail,1,Hybrid,1324,34,No,3.6
10281,Brazil,29,Bachelor,Married,4,Finance,8,Yes,3051,45,Yes,9.19
10282,Germany,36,Master,Divorced,2,IT,5,Hybrid,1580,44,No,3.21
10283,Brazil,31,High School,Married,1,Manufacturing,5,Yes,2198,26,Yes,5.28
10284,India,39,Master,Married,1,Manufacturing,12,No,3012,35,No,3.0
10285,USA,48,Diploma,Single,0,Healthcare,30,Hybrid,6501,30,Yes,1.07
10286,Canada,38,Bachelor,Single,0,Manufacturing,17,No,4541,46,Yes,6.42
10287,South Africa,47,Diploma,Divorced,4,Hospitality,25,No,5719,41,No,1.47
10288,Germany,21,Bachelor,Divorced,1,Education,0,Hybrid,1065,47,Yes,6.34
10289,Germany,29,Bachelor,Divorced,4,Healthcare,8,Yes,2954,30,Yes,4.47
10290,Canada,34,Master,Single,0,Finance,11,No,3696,45,No,9.71
10291,UK,45,Diploma,Divorced,4,Finance,4,No,2035,47,No,6.92
10292,South Africa,33,Diploma,Divorced,4,Finance,15,No,3724,30,Yes,6.31
10293,South Africa,55,Bachelor,Single,0,Finance,19,Hybrid,4684,35,Yes,5.94
10294,Brazil,24,Diploma,Single,0,IT,6,Yes,2102,53,Yes,9.61
10295,Australia,53,Master,Single,0,Government,23,Yes,5737,34,Yes,7.4
10296,Australia,47,High School,Single,0,Finance,10,Yes,2629,56,Yes,8.93
10297,Brazil,38,Bachelor,Single,0,Healthcare,17,No,3952,42,Yes,5.64
10298,USA,32,Bachelor,Single,0,Hospitality,11,No,3383,34,Yes,2.88
10299,UK,22,Diploma,Married,4,Government,3,No,1829,54,No,6.26
10300,UK,58,PhD,Single,0,Retail,8,No,2771,58,No,2.34
10301,Japan,58,Master,Divorced,4,Retail,23,Yes,5809,38,Yes,7.06
10302,Germany,30,High School,Married,0,Finance,4,Hybrid,1715,56,Yes,3.12
10303,Canada,48,PhD,Single,0,Hospitality,3,Yes,1346,33,No,8.31
10304,Australia,40,Diploma,Divorced,2,Retail,16,No,4535,31,Yes,1.29
10305,Germany,41,Bachelor,Divorced,0,Manufacturing,17,Hybrid,4338,46,Yes,8.51
10306,France,23,Bachelor,Single,0,Government,2,No,1102,34,No,6.98
10307,Japan,29,High School,Married,2,Retail,5,No,1683,47,No,9.27
10308,Japan,41,Master,Married,0,Finance,18,No,4222,47,No,2.71
10309,UK,31,Diploma,Single,0,IT,11,Hybrid,3100,58,No,7.23
10310,Japan,53,Master,Married,0,Finance,21,Hybrid,5466,45,Yes,8.54
10311,UK,23,Diploma,Married,0,Government,3,Hybrid,1393,40,No,3.92
10312,Brazil,43,Master,Single,0,IT,9,No,2579,58,Yes,9.9
10313,Germany,24,High School,Divorced,4,IT,6,Hybrid,2536,36,Yes,6.39
10314,Brazil,49,Diploma,Single,0,Hospitality,0,Hybrid,1383,29,No,8.58
10315,USA,36,Diploma,Single,0,Hospitality,11,Hybrid,3309,30,No,8.52
10316,Canada,59,High School,Single,0,Manufacturing,26,Yes,5897,59,No,1.91
10317,USA,30,High School,Married,0,Healthcare,12,Yes,3881,57,Yes,8.81
10318,Canada,57,High School,Single,0,Healthcare,28,Hybrid,7006,39,No,5.55
10319,UK,33,Bachelor,Divorced,4,Education,4,No,1810,49,No,7.95
10320,South Africa,55,Master,Married,0,Retail,10,Hybrid,3251,27,Yes,5.8
10321,Canada,57,Bachelor,Divorced,0,Manufacturing,31,Hybrid,6843,28,Yes,5.13
10322,India,43,PhD,Married,2,Retail,17,Yes,4508,52,Yes,3.85
10323,Brazil,26,Bachelor,Divorced,1,Manufacturing,5,Yes,1700,45,No,4.93
10324,India,36,Master,Divorced,0,Manufacturing,13,Yes,3223,46,Yes,8.9
10325,Germany,24,PhD,Single,0,Education,0,Hybrid,686,29,No,1.19
10326,Canada,58,PhD,Divorced,2,IT,32,No,7225,59,Yes,9.81
10327,UK,43,High School,Divorced,2,Retail,20,Yes,4963,52,Yes,8.69
10328,Australia,35,Master,Married,2,Healthcare,12,No,3248,48,No,6.78
10329,India,57,PhD,Single,0,Finance,20,No,5270,44,Yes,4.34
10330,Germany,40,Master,Divorced,1,Hospitality,17,Hybrid,4559,37,No,3.31
10331,France,58,PhD,Divorced,1,IT,23,No,5863,42,Yes,1.92
10332,France,44,Bachelor,Married,2,IT,23,Hybrid,6054,31,Yes,7.29
10333,Australia,26,Bachelor,Married,2,Manufacturing,5,Yes,2431,53,No,3.74
10334,Germany,45,Diploma,Married,2,Finance,27,No,6302,46,Yes,4.46
10335,Canada,32,Diploma,Divorced,1,Healthcare,11,Hybrid,3045,32,Yes,9.98
